Town,1990,1992,1997,2001,2002,2007,2012,2017,2018,diff,diff_pct
North Haven,2.2,2.2,2.41,2.95,3.54,4.86,4.7,5.08,5.34,3.1399999999999997,142.7272727272727
North Stonington,2.1,1.8,1.32,1.22,1.41,0.44,0.95,1.52,1.39,-0.7100000000000002,-33.80952380952382
Norwalk,8.4,8.8,11.8,12.06,12.23,11.01,11.43,12.72,12.75,4.35,51.78571428571428
Norwich,16.3,17.9,17.41,18.34,20.77,19.58,16.89,18.83,18.73,2.4299999999999997,14.907975460122698
Old Lyme,1.2,1.2,1.02,1.64,1.71,1.55,1.41,1.57,1.61,0.41000000000000014,34.16666666666668
Old Saybrook,1.4,1.6,1.81,1.66,1.66,1.19,1.29,2.37,2.46,1.06,75.71428571428572
Orange,0.0,0.0,1.64,1.95,1.13,1.11,1.1,1.37,1.37,1.37,inf
Oxford,0.4,0.4,1.4,1.26,1.29,1.32,0.95,1.5,1.52,1.12,280.0
Plainfield,11.1,11.5,12.36,16.19,17.65,16.21,14.42,12.65,12.59,1.4900000000000002,13.423423423423426
Plainville,8.0,8.1,8.86,9.29,9.25,7.64,7.08,6.7,6.65,-1.3499999999999996,-16.874999999999996
Plymouth,5.6,5.7,5.56,8.44,8.98,7.1,6.58,7.5,7.12,1.5200000000000005,27.142857142857153
Pomfret,0.6,0.8,3.15,5.72,3.99,7.98,3.03,2.97,2.79,2.19,365.0
Portland,5.7,7.7,6.24,7.06,7.62,8.7,8.05,8.29,8.29,2.589999999999999,45.43859649122805
Preston,4.9,5.1,4.13,4.21,4.26,3.68,3.96,4.36,4.21,-0.6900000000000004,-14.081632653061233
Prospect,0.9,0.9,0.77,0.97,1.1,0.52,0.83,1.47,1.5,0.6,66.66666666666667
Putnam,13.8,14.4,20.49,21.01,20.3,13.88,13.7,13.17,12.31,-1.4900000000000002,-10.797101449275363
Redding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.37,0.37,inf
Ridgefield,0.8,0.9,1.85,1.71,2.17,1.78,2.34,2.93,2.96,2.16,270.0
Rocky Hill,4.8,5.4,3.93,4.97,5.27,5.36,4.95,4.86,5.09,0.29000000000000004,6.041666666666668
Roxbury,0.0,0.0,0.31,0.39,1.87,1.87,1.71,1.89,2.06,2.06,inf
Salem,2.3,2.5,1.74,1.33,1.51,1.21,1.77,1.77,1.96,-0.33999999999999986,-14.782608695652169
Salisbury,1.1,1.3,1.58,1.0,0.95,0.79,1.23,1.27,1.27,0.16999999999999993,15.454545454545446
Scotland,1.0,1.5,2.51,4.85,5.2,1.04,1.62,3.09,3.24,2.24,224.00000000000003
Seymour,4.4,4.7,4.62,4.77,6.23,5.62,5.27,5.71,5.75,1.3499999999999996,30.681818181818173
Sharon,0.4,0.6,1.63,1.61,1.61,1.42,1.35,2.03,2.03,1.63,407.5
Shelton,2.6,2.8,2.95,3.57,3.3,3.13,2.73,2.99,3.12,0.52,20.0
Sherman,0.3,0.3,0.26,0.19,0.19,0.06,0.11,0.55,0.38,0.08000000000000002,26.666666666666675
Simsbury,1.2,1.8,297.0,3.48,3.23,3.46,3.4,4.64,4.68,3.4799999999999995,289.99999999999994
Somers,3.1,3.2,2.94,2.86,2.95,2.26,2.27,5.23,5.2,2.1,67.74193548387096
South Windsor,3.9,4.1,3.1,3.27,3.54,6.77,6.99,6.62,6.79,2.89,74.1025641025641
Southbury,0.6,0.6,1.07,1.24,1.14,1.3,1.15,1.39,1.42,0.82,136.66666666666669
Southington,7.5,7.5,7.16,7.71,7.95,6.22,5.63,5.27,5.38,-2.12,-28.266666666666666
Sprague,4.3,4.0,367.0,5.07,5.84,4.38,4.81,5.77,5.13,0.8300000000000001,19.30232558139535
Stafford,8.2,8.8,7.4,8.73,9.7,7.0,6.81,8.02,7.49,-0.7099999999999991,-8.658536585365844
Stamford,12.2,11.9,14.33,13.24,11.86,13.53,15.48,16.28,15.12,2.92,23.934426229508198
Sterling,3.1,4.4,4.91,7.29,8.21,2.1,2.38,2.65,2.32,-0.7800000000000002,-25.161290322580655
Stonington,3.9,3.9,432.0,4.39,5.21,4.28,3.86,5.69,5.86,1.9600000000000004,50.25641025641026
Stratford,7.1,5.8,7.32,8.15,6.11,5.25,5.65,6.21,6.37,-0.7299999999999995,-10.281690140845065
Suffield,3.7,3.9,3.59,3.92,4.12,5.73,5.1,5.1,5.72,2.0199999999999996,54.594594594594575
Thomaston,7.0,7.0,561.0,6.3,7.13,6.4,6.11,5.98,5.83,-1.17,-16.714285714285715
Thompson,3.6,3.5,592.0,7.6,7.9,5.53,5.9,5.78,5.2,1.6,44.44444444444444
Tolland,3.5,3.7,3.72,3.64,4.35,3.26,3.3,3.16,3.25,-0.25,-7.142857142857143
Torrington,11.6,12.0,12.01,12.6,13.9,11.38,11.97,10.82,10.66,-0.9399999999999995,-8.103448275862064
Trumbull,1.8,2.1,1.73,2.01,2.7,4.65,5.14,4.82,4.5,2.7,150.0
Union,1.5,1.4,161.0,1.81,1.76,1.51,2.32,1.03,1.29,-0.20999999999999996,-13.999999999999998
Vernon,16.7,16.9,20.09,21.12,20.07,17.12,16.43,16.39,16.5,-0.1999999999999993,-1.1976047904191576
Voluntown,6.6,7.3,588.0,6.23,6.69,3.94,3.99,4.35,3.99,-2.6099999999999994,-39.54545454545454
Wallingford,4.8,-5.0,5.32,5.65,7.35,5.63,5.04,4.13,4.16,-0.6399999999999997,-13.333333333333329
Warren,0.2,0.2,0.16,0.31,0.46,0.31,0.49,0.12,0.0,-0.2,-100.0
Washington,0.3,0.5,1.07,10.26,1.08,2.21,1.74,2.26,2.07,1.7699999999999998,589.9999999999999
Waterbury,18.3,18.7,21.79,22.15,22.44,20.9,22.09,21.56,20.93,2.629999999999999,14.371584699453544
Waterford,4.1,4.1,383.0,4.42,5.23,3.71,4.03,4.37,4.47,0.3700000000000001,9.024390243902443
Watertown,4.9,5.0,4.63,5.97,5.45,4.27,4.0,4.55,4.67,-0.23000000000000043,-4.6938775510204165
West Hartford,4.2,4.6,5.14,7.33,9.45,7.23,7.86,7.54,7.46,3.26,77.61904761904762
West Haven,9.6,9.8,9.87,12.67,14.08,12.21,13.11,13.19,13.21,3.610000000000001,37.60416666666668
Westbrook,3.9,4.1,5.08,5.61,5.61,5.06,4.7,5.03,5.11,1.2100000000000004,31.025641025641036
Weston,0.0,0.0,0.03,0.03,0.06,0.03,0.03,0.11,0.19,0.19,inf
Westport,1.3,1.4,1.9096,1.8,2.5,2.15,2.71,3.57,3.37,2.0700000000000003,159.23076923076925
Wethersfield,6.1,6.1,7.15,7.69,7.96,8.15,8.29,9.44,9.22,3.120000000000001,51.14754098360658
Willington,3.8,3.0,2.42,2.39,2.59,7.9,7.55,7.55,7.43,3.63,95.52631578947368
Wilton,1.4,1.5,2.3,3.88,2.58,2.65,3.64,3.97,4.0,2.6,185.71428571428572
Winchester,11.7,11.9,11.69,13.02,16.36,12.47,12.6,12.08,11.01,-0.6899999999999995,-5.897435897435893
Windham,22.6,23.9,22.99,26.93,26.51,27.38,26.92,29.18,28.56,5.959999999999997,26.371681415929192
Windsor,4.9,5.3,5.57,6.22,6.88,6.39,7.15,6.77,6.85,1.9499999999999993,39.79591836734692
Windsor Locks,7.6,9.8,8.11,8.55,9.94,8.55,9.15,9.01,9.01,1.4100000000000001,18.55263157894737
Wolcott,4.9,4.0,5.31,6.57,7.34,8.06,6.95,7.23,7.55,2.6499999999999995,54.081632653061206
Woodbridge,0.1,0.1,0.4,0.66,0.5,1.25,1.12,1.21,1.24,1.14,1139.9999999999998
Woodbury,0.8,1.6,1.61,1.73,2.02,2.04,1.82,1.88,1.86,1.06,132.5
Woodstock,1.7,1.9,2.29,3.02,3.29,1.84,2.21,2.01,1.59,-0.10999999999999988,-6.470588235294111
